rows,text,date,number,type
7,1,0,3,dualAxis
12,1,0,0,scatter
9,1,0,5,line
31,7,0,0,grid
7,6,0,0,grid
19,1,0,1,line
4,1,0,4,bar
5,1,0,1,bar
3,1,0,1,bar
10,1,0,2,bar
8,2,0,3,grid
27,3,0,1,line
10,4,0,0,grid
4,1,0,4,barStacked
7,1,0,1,column
30,1,0,0,column
65,1,0,1,line
7,1,0,1,dualAxis
4,1,0,0,line
7,4,0,0,grid
6,1,0,5,line
7,1,0,6,line
6,2,0,2,grid
19,4,0,0,column
4,1,0,4,grid
24,1,0,1,bar
7,4,0,0,grid
6,9,0,0,grid
3,1,0,1,bar
31,6,0,0,grid
30,5,0,1,grid
3,1,0,1,dualAxis
20,2,0,0,grid
32,1,0,1,bar
6,7,0,0,grid
10,7,0,0,grid
8,1,0,4,line
7,1,0,1,pie
2,1,0,0,columnStacked
20,1,0,2,scatter
8,1,0,2,column
5,1,0,3,column
6,1,0,1,line
168,2,0,0,line
8,3,0,1,column
2,1,0,0,columnStacked
4,1,0,4,line
69,0,1,2,stockLine
4,1,0,4,scatter
144,1,1,0,stockDualAxis
144,1,1,0,stockLine
4,1,0,4,barStacked
6,1,0,1,grid
34,1,0,1,bar
4,1,0,4,column
144,1,0,1,line
15,1,0,1,barPacked
4,1,0,2,columnPacked
5,1,0,0,barStacked
6,1,0,4,pie
2,0,0,2,columnStacked
8,1,0,1,column
9,2,0,1,pie
6,1,0,0,columnPacked
12,1,0,1,column
4,1,0,0,pie
4,1,0,0,pie
6,1,0,0,column
3,1,0,3,pie
4,1,0,12,line
8,1,0,2,line
5,1,0,3,columnPacked
4,1,0,2,line
4,1,0,2,columnPacked
5,1,0,5,line
8,1,0,0,barStacked
10,1,0,4,line
1,1,0,12,barPacked
3,1,0,2,column
18,4,0,0,grid
5,2,0,0,grid
3,1,0,5,column
3,1,0,2,column
3679,0,1,0,stockLine
4,1,0,4,grid
5,2,0,2,pie
2,2,0,2,pie
13,1,0,1,column
10,0,0,0,column
23,1,0,1,bar
6,1,0,0,stockArea
15,1,0,2,area
4,1,0,4,column
41,1,0,2,dualAxis
167,2,0,2,scatter
1,1,0,50,line
37,4,0,0,grid
13,3,0,0,grid
8,1,0,2,line
12,2,0,3,barStacked
32,2,0,1,bar
55,0,0,3,line
16,1,0,1,line
2,1,0,1,pie
4,0,0,3,dualAxis
9,1,0,1,column
7,1,0,1,columnPacked
3,1,0,1,pie
55,0,0,3,line
18,1,0,2,pyramid
67,1,0,1,column
54,0,1,4,line
16,1,0,2,grid
7,1,0,1,columnPacked
4,1,0,30,line
4,1,0,50,areaStacked
8,1,0,2,columnStacked
3,1,0,10,line
53,1,0,4,line
11,1,0,0,bar
2,1,0,1,column
7,1,0,1,columnPacked
4,0,0,0,line
5,1,0,1,column
2,1,0,2,columnPacked
2,2,0,0,columnPacked
3,1,0,0,line
4,1,0,2,columnPacked
5,1,0,0,columnPacked
13,1,0,0,columnPacked
5,1,0,1,pie
6,1,0,2,columnPacked
4,1,0,2,columnPacked
3,1,0,4,line
3,1,0,3,line
8,1,0,0,columnPacked
27,1,0,0,bar
12,10,0,0,grid
5,1,0,1,column
4,1,0,3,column
6,1,0,1,column
10,3,0,0,grid
15,2,0,1,grid
3,3,0,0,grid
3,3,0,0,grid
4,3,0,0,grid
42,0,0,0,column
24,1,0,0,barStacked
3,1,0,5,columnPacked
4,2,0,2,column
642,1,0,6,line
5,1,0,1,bar
9,1,0,10,areaStacked
6,1,0,2,column
10,1,0,0,line
11,0,0,0,line
4,2,0,2,bar
1,1,0,2,bar
1,1,0,3,bar
