rows,text,date,number,type
5,1,0,3,13
9,1,0,2,4
10,4,0,0,13
43,0,1,2,22
4,1,0,4,8
4,1,0,4,4
8,1,0,1,16
4,6,0,0,8
7,1,0,1,16
5,1,0,1,8
19,4,0,0,13
17,4,0,0,13
8,1,0,3,8
2,1,0,3,8
2,1,0,4,8
6,4,0,0,13
6,1,0,1,16
5,1,0,1,16
1,1,0,3,8
2,1,0,5,8
1,1,0,5,8
1,1,0,2,8
32,1,0,2,18
1,1,0,3,8
1,1,0,2,8
1,1,0,5,8
13,1,0,5,10
44,0,0,4,14
-1,0,0,3,14
49,1,1,0,23
13,0,0,3,14
20,1,0,1,4
10,1,0,0,8
21,2,0,3,14
4,1,0,0,16
37,4,0,0,13
30,4,0,1,6
4,1,0,51,2
27,1,0,1,8
3,1,0,3,8
36,4,0,0,13
1191,0,1,1,24
54,0,0,2,3
4,3,0,3,16
6,1,0,0,14
34,2,0,3,10
52,0,0,4,14
18,4,0,0,13
167,2,0,2,18
4,1,0,4,8
5,1,0,2,8
43,0,0,4,14
19,2,0,2,10
8,4,0,0,13
6,3,0,0,13
3,2,0,1,11
237,15,0,1,4
4,5,0,0,13
2,3,0,0,13
57,0,1,1,24
3,8,0,0,13
18,1,0,2,14
187,2,0,3,18
4,1,0,4,14
1,1,0,3,8
5,0,0,3,14
3679,0,1,0,25
551,0,1,2,24
4,1,0,4,12
14,3,0,0,13
13,4,0,0,13
3679,0,1,0,24
65,2,0,1,14
6,1,0,2,8
8,9,0,0,13
5,1,0,0,13
4,1,0,4,4
21,8,0,0,13
4,1,0,4,13
27,5,0,0,13
13,1,0,1,14
7,2,0,4,22
18,2,0,5,13
7,1,0,2,8
4,1,0,4,8
4,1,0,0,8
12706,0,1,1,24
561,0,1,2,8
8,1,0,1,8
10,1,0,8,6
16,1,0,1,9
6,1,0,4,9
19,1,0,4,14
12890,0,1,1,6
6,1,0,4,7
11,1,0,0,13
847,0,1,1,24
4,1,0,4,10
1,1,0,25,14
16,5,0,0,13
1,1,0,2,4
7,1,0,1,4
17,0,0,7,14
6,2,0,0,13
55,0,0,4,14
55,0,0,3,14
14,4,0,0,13
16,1,0,2,13
15,1,0,3,14
5,6,0,1,16
5,6,0,1,16
1,1,0,12,5
11,1,0,1,16
